Data Set 1:Time(s),Data Set 1:Illuminance(lux),Data Set 1:615 nm,Data Set 1:525 nm,Data Set 1:465 nm,Data Set 2:Time(s),Data Set 2:Illuminance(lux),Data Set 2:615 nm,Data Set 2:525 nm,Data Set 2:465 nm,Data Set 3:Time(s),Data Set 3:Illuminance(lux),Data Set 3:615 nm,Data Set 3:525 nm,Data Set 3:465 nm,Data Set 4:Time(s),Data Set 4:Illuminance(lux),Data Set 4:615 nm,Data Set 4:525 nm,Data Set 4:465 nm,Data Set 5:Time(s),Data Set 5:Illuminance(lux),Data Set 5:615 nm,Data Set 5:525 nm,Data Set 5:465 nm,Data Set 6:Time(s),Data Set 6:Illuminance(lux),Data Set 6:615 nm,Data Set 6:525 nm,Data Set 6:465 nm,Data Set 7:Time(s),Data Set 7:Illuminance(lux),Data Set 7:615 nm,Data Set 7:525 nm,Data Set 7:465 nm
31.00,40.6,,,,1.55,,8.787420,7.982607,4.837030,,,,,,31.00,,12.435028,16.805489,20.464354,31.00,,13.761431,16.385351,19.720196,31.00,,6.963615,0.000000,0.000000,1.55,,0.000000,0.630206,1.116238
32.00,41.4,,,,1.60,,7.792617,7.772538,4.464949,,,,,,32.00,,12.435028,16.805489,20.464354,32.00,,13.098228,16.595419,20.092274,32.00,,6.963615,0.000000,0.000000,1.60,,0.000000,0.630206,1.116238
33.00,40.8,,,,1.65,,7.792617,7.772538,4.464949,,,,,,33.00,,12.435028,16.805489,20.464354,33.00,,13.098228,16.595419,20.092274,33.00,,5.637213,0.000000,0.000000,1.65,,0.000000,0.630206,1.116238
34.00,36.2,,,,1.70,,8.455818,7.562469,4.092870,,,,,,34.00,,12.435028,16.805489,20.464354,34.00,,13.264030,17.855831,20.464354,34.00,,4.974011,0.000000,0.000000,1.70,,0.000000,0.630206,1.116238
35.00,36.6,,,,1.75,,8.455818,7.562469,4.092870,,,,,,35.00,,12.435028,16.805489,20.464354,35.00,,13.098228,16.595419,20.092274,35.00,,4.310810,0.210069,0.372079,1.75,,0.000000,0.630206,1.116238
36.00,36.6,,,,1.80,,8.787420,7.982607,4.837030,,,,,,36.00,,12.435028,16.805489,20.464354,36.00,,12.435028,16.805489,20.464354,36.00,,0.331601,0.420137,0.744158,1.80,,0.000000,0.630206,1.116238
37.00,36.6,,,,1.85,,8.787420,7.982607,4.837030,,,,,,37.00,,12.103427,16.385351,19.720196,37.00,,13.098228,16.595419,20.092274,37.00,,0.000000,0.630206,1.116238,1.85,,0.000000,0.630206,1.116238
,,,,,1.90,,8.455818,7.562469,4.092870,,,,,,38.00,,12.103427,16.385351,19.720196,38.00,,45.595100,52.517151,42.789104,38.00,,0.331601,0.420137,0.744158,1.90,,0.000000,0.630206,1.116238
,,,,,1.95,,8.455818,7.562469,4.092870,,,,,,39.00,,45.760902,40.123104,33.859203,,,,,,39.00,,7.958418,10.083294,10.418217,1.95,,0.000000,0.630206,1.116238
,,,,,2.00,,7.792617,7.772538,4.464949,,,,,,40.00,,14.424632,13.024253,6.325345,,,,,,40.00,,7.958418,9.032950,8.557821,2.00,,0.000000,0.630206,1.116238
